"","Nombres","Adjudicación en firme","Adjudicado","Apelación o Revocación","Arrendamiento de bienes muebles sin opción de compra","Arrendamiento de inmuebles sin opción de compra","Bienes","Bienes/servicios","Cantidad definida","Contratación directa","Contratación especial","Contrato","Desierto/Infructuoso","En apertura","En evaluación","En recepción de ofertas","Licitación abreviada","Licitación menor","Licitación pública nacional","Licitación reducida","NA","Nulidad absoluta","Objetado","Obra publica","Publicado","Remate","REMATE PARA DAR EN ARRENDAMIENTO BIENES INMUEBLES","Según demanda","Servicios","Sin definir","cant_cod"
"1","Acosta",1,0,0,0,0,2,1,0,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,112
"2","Alajuela",2,0,0,0,0,1,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,201
"3","Alvarado",0,0,0,0,0,8,2,12,12,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,306
"4","Aserri",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,106
"5","Atenas",0,0,0,0,0,3,4,8,10,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,205
"6","Barva",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,402
"7","Belen",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,407
"8","Buenos Aires",1,0,0,0,0,1,1,2,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,603
"9","Cañas",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,506
"10","Carrillo",0,0,0,0,0,6,1,6,7,0,4,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,505
"11","Cartago",3,0,0,0,0,3,6,9,14,0,7,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,9,0,301
"12","Corredores",2,0,0,0,0,4,3,10,9,0,6,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,610
"13","Coto Brus",1,0,0,0,0,2,4,8,8,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,608
"14","Curridabat",1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,118
"15","Desamparados",0,0,0,0,0,7,3,11,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,103
"16","El Guarco",0,0,0,0,0,0,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,308
"17","Escazu",1,2,0,0,0,0,3,2,5,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,0,102
"18","Flores",0,0,0,0,0,2,1,5,5,0,6,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,4,0,408
"19","Garabito",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,611
"20","Goicoechea",2,0,0,0,0,2,0,3,8,0,6,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,12,1,108
"21","Golfito",1,0,0,0,0,0,4,8,8,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,607
"22","Grecia",1,0,0,0,0,6,6,16,20,0,11,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,13,0,203
"23","Guacimo",0,1,0,0,0,5,0,7,5,0,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,706
"24","Heredia",13,5,4,0,0,53,1,41,88,0,72,7,0,3,0,16,0,2,0,0,0,0,0,0,0,0,9,108,2,401
"25","Hojancha",0,0,0,0,0,2,6,5,7,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,511
"26","La Union",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,303
"27","Leon Cortes Castro",0,0,0,0,0,2,1,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
"28","Liberia",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,501
"29","Limon",1,0,0,0,0,1,4,5,6,0,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,701
"30","Los Chiles",0,0,0,0,0,0,1,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,214
"31","Matina",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,705
"32","Montes de Oca",0,0,0,0,0,1,1,5,6,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,1,115
"33","Montes de Oro",0,0,0,0,0,1,3,5,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,604
"34","Mora",2,0,0,0,0,4,2,6,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,107
"35","Moravia",0,0,0,0,1,1,2,4,6,0,6,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,7,0,114
"36","Nicoya",2,0,0,0,0,4,2,7,13,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,502
"37","Oreamuno",0,1,0,0,0,0,0,3,2,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,307
"38","Orotina",0,0,0,0,0,4,2,4,6,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,209
"39","Osa",2,0,0,0,0,10,1,8,10,0,11,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,4,4,0,605
"40","Palmares",0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207
"41","Paraiso",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,302
"42","Parrita",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,609
"43","Perez Zeledon",1,0,0,0,0,4,2,4,2,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,1,1,1,119
"44","Pococi",0,0,0,0,0,1,0,2,2,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,702
"45","Puntarenas",2,0,0,0,1,2,1,2,4,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,6,0,601
"46","Quepos",0,0,0,0,0,3,0,3,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,606
"47","San Carlos",0,0,0,0,0,1,1,4,4,0,5,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,5,0,210
"48","San Isidro",1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,406
"49","San Jose",0,0,0,0,0,0,0,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,101
"50","San Mateo",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,204
"51","San Pablo",0,0,0,0,0,5,0,5,4,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,409
"52","San Rafael",0,0,0,0,0,2,1,2,6,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,9,0,405
"53","San Ramon",1,0,0,0,0,0,0,3,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,202
"54","Santa Ana",0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,109
"55","Santa Barbara",0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404
"56","Santa Cruz",0,0,0,1,0,1,2,2,2,0,3,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,2,2,0,503
"57","Santo Domingo",0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,403
"58","Sarapiqui",2,0,0,0,0,1,0,1,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,410
"59","Sarchi",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,212
"60","Siquirres",1,0,0,0,0,1,2,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,703
"61","Talamanca",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,704
"62","Tibas",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,113
"63","Tilaran",2,0,0,0,0,1,0,1,1,0,2,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,1,2,0,508
"64","Turrialba",3,0,0,0,0,7,3,10,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,305
"65","Turrubares",6,0,0,0,0,13,5,19,18,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,116
"66","Upala",1,0,0,0,0,1,2,4,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,213
"67","Zarcero",3,0,0,0,0,7,0,3,7,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,211
