"","osm_id","name","addr:city","addr:street","amenity","description","designation","operator","short_name","townhall:type","geometry"
"701097939","701097939",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.9044562, 9.8686786)
"701097960","701097960",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.9041525, 9.8686462)
"701097965","701097965",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.9044341, 9.8688802)
"701097969","701097969",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.9041303, 9.8688478)
"972402514","972402514",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0524618, 9.9333026)
"972402520","972402520",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0527382, 9.9334005)
"1034288368","1034288368",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0949992, 9.9316169)
"1034288370","1034288370",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0944511, 9.9314148)
"1034288374","1034288374",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0945245, 9.9312216)
"1034288377","1034288377",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0950726, 9.9314236)
"1072107647","1072107647",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.7894731, 10.2027518)
"1072107649","1072107649",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.7889247, 10.2027725)
"1218645196","1218645196","Concejo Municipal Distrito Paquera","Paquera","Calle Central","townhall",NA,NA,"Municipalidad de Puntarenas",NA,NA,c(-84.9350172, 9.8175896)
"1239129958","1239129958",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.4538466, 10.1416409)
"1239130034","1239130034",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.4536356, 10.1417001)
"1239130254","1239130254",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.4537245, 10.142007)
"1239130332","1239130332",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.4539355, 10.1419478)
"1241403527","1241403527",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.4177776, 10.0587093)
"1241403532","1241403532",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.4180057, 10.0590168)
"1241403542","1241403542",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.4180987, 10.0587318)
"1241403563","1241403563",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.417754, 10.0590232)
"1241570364","1241570364",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.2515221, 9.9950201)
"1241570436","1241570436",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.2514981, 9.9952156)
"1241570566","1241570566",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.2517418, 9.9952446)
"1241570604","1241570604",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.2517658, 9.9950491)
"1287544132","1287544132",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.3357353, 9.1726798)
"1287544174","1287544174",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.3357413, 9.1726038)
"1287544189","1287544189",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.3354929, 9.1727265)
"1287544231","1287544231",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.3355504, 9.1725874)
"1313926847","1313926847",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0473722, 9.9610469)
"1313926850","1313926850",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0478617, 9.9608778)
"1313926856","1313926856",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0476222, 9.9608503)
"1313926866","1313926866",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0478357, 9.9610971)
"1429710674","1429710674",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3144397, 9.8470435)
"1429710693","1429710693",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3143595, 9.8476919)
"1429710701","1429710701",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.314536, 9.8476958)
"1431339456","1431339456",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.6838, 9.9063823)
"1431339461","1431339461",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.6836525, 9.9064708)
"1431339463","1431339463",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.683975, 9.9066654)
"1431339472","1431339472",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.6838276, 9.9067539)
"1437820422","1437820422",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.5056263, 10.0982563)
"1437820423","1437820423",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.5058674, 10.0983809)
"1437820424","1437820424",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.5055376, 10.0984228)
"1437820425","1437820425",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.5057787, 10.0985473)
"1437966185","1437966185",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8106581, 9.9166323)
"1437966192","1437966192",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8106794, 9.9164364)
"1437966193","1437966193",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8108769, 9.9166531)
"1437966202","1437966202",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8106602, 9.9165908)
"1440009912","1440009912",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0783731, 9.962404)
"1440009913","1440009913",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0785721, 9.9624086)
"1440009926","1440009926",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0783679, 9.962619)
"1440009927","1440009927",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0785669, 9.9626237)
"1441140275","1441140275",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0216932, 9.6587047)
"1441140277","1441140277",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0218687, 9.6587193)
"1441140279","1441140279",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0218461, 9.6589786)
"1441140281","1441140281",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0216612, 9.658959)
"1514517736","1514517736",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.1536338, 8.6253742)
"1519838013","1519838013",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.1538221, 8.6252199)
"1519838019","1519838019",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.1540414, 8.6254818)
"1519838037","1519838037",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.1538532, 8.6256359)
"1600704099","1600704099",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.9202407, 9.8647461)
"1600704100","1600704100",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.9210347, 9.8648461)
"1600704102","1600704102",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.9202001, 9.8650587)
"1600704103","1600704103",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.9209941, 9.8651587)
"1607806717","1607806717","Instituto Biblico",NA,NA,"townhall",NA,NA,NA,NA,NA,c(-84.0497634, 9.9673264)
"1705467429","1705467429",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.4390352, 10.6306029)
"1705467430","1705467430",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.4388585, 10.6302226)
"1833730080","1833730080",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0564352, 9.9452569)
"1834345300","1834345300",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0357542, 9.915606)
"1834345303","1834345303",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.035497, 9.9158103)
"1834345338","1834345338",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0357436, 9.915822)
"1834345352","1834345352",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0355076, 9.9155943)
"1834517383","1834517383",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8658067, 9.8392312)
"1834517385","1834517385",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8659467, 9.839245)
"1834517419","1834517419",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8656083, 9.8394441)
"1834517421","1834517421",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8659237, 9.8394713)
"1838812558","1838812558",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4308965, 10.3226916)
"1838812559","1838812559",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4308918, 10.3223589)
"1838812560","1838812560",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4306331, 10.3223625)
"1838812562","1838812562",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4306379, 10.3226952)
"1951553460","1951553460","Community Hall",NA,NA,"townhall",NA,"Community Hall",NA,NA,NA,c(-85.7615606, 11.1130501)
"2000458625","2000458625",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1001906, 9.9035125)
"2000458626","2000458626",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1001427, 9.9032833)
"2000458627","2000458627",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1004518, 9.9034595)
"2000458628","2000458628",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1004038, 9.9032303)
"2056876214","2056876214",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.5518463, 10.4466777)
"2056876216","2056876216",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.5514975, 10.4467585)
"2056876218","2056876218",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.5515733, 10.4470751)
"2056876220","2056876220",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.5519221, 10.4469943)
"2076995104","2076995104",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.6762588, 9.9650907)
"2076995110","2076995110",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.676087, 9.9650978)
"2076995113","2076995113",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.6760932, 9.9652428)
"2076995124","2076995124",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.676265, 9.9652357)
"2248545224","2248545224",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.5712756, 10.268774)
"2248545225","2248545225",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.5708906, 10.2688929)
"2248545227","2248545227",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.5710922, 10.2690318)
"2248545231","2248545231",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.5710739, 10.2686351)
"2297161444","2297161444",NA,NA,NA,"townhall",NA,NA,NA,NA,NA,c(-82.8600059, 8.2739549)
"2314804577","2314804577",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.7354253, 10.9487111)
"2314804581","2314804581",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.73557, 10.9488412)
"2314804583","2314804583",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.7352942, 10.9488516)
"2314804585","2314804585",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.7354389, 10.9489818)
"2405672987","2405672987",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.8364947, 9.9763345)
"2405672989","2405672989",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.8362421, 9.9763408)
"2405672990","2405672990",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.8362575, 9.9768744)
"2405672991","2405672991",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.8365015, 9.9768601)
"2406372867","2406372867","topcanto.com",NA,NA,"townhall",NA,NA,NA,NA,NA,c(-84.127604, 9.9491827)
"2526134722","2526134722","Salón Comunal",NA,NA,"townhall",NA,NA,NA,NA,NA,c(-85.0640836, 10.7439652)
"2637406595","2637406595",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.162693, 9.4312297)
"2637407669","2637407669",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1626879, 9.4313796)
"2637407670","2637407670",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1624788, 9.4313725)
"2637407671","2637407671",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1624841, 9.4312226)
"2637848391","2637848391",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.7462715, 9.8933137)
"2698589011","2698589011",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-82.9421654, 8.6492326)
"2698589012","2698589012",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-82.9420931, 8.6489455)
"2698589013","2698589013",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-82.9414154, 8.6489293)
"2698589014","2698589014",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-82.9414027, 8.6492033)
"2698747477","2698747477",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.5324663, 8.9792049)
"2698747479","2698747479",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.5320023, 8.9789611)
"2698747481","2698747481",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.5324186, 8.9790222)
"2698747482","2698747482",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.5325311, 8.979087)
"2723568471","2723568471",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.5229257, 9.9359091)
"2723568472","2723568472",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.5228347, 9.9355991)
"2723568473","2723568473",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.5226096, 9.9356632)
"2723568474","2723568474",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.5227007, 9.9359732)
"2723640452","2723640452",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.6679402, 9.9915759)
"2723640453","2723640453",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.6677147, 9.9914877)
"2723640454","2723640454",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.6675985, 9.9917759)
"2723640455","2723640455",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.667824, 9.9918641)
"2748917792","2748917792",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1000042, 10.0139579)
"2748917793","2748917793",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.100061, 10.0139632)
"2748917795","2748917795",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1001802, 10.0138576)
"2748917833","2748917833",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0999731, 10.0142858)
"2748917836","2748917836",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1001382, 10.014301)
"2754955023","2754955023",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.7292211, 10.092033)
"2754955024","2754955024",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.7292662, 10.0917828)
"2754955025","2754955025",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.7290468, 10.0917208)
"2754955026","2754955026",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.728977, 10.0919797)
"2755192168","2755192168",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0417839, 9.6839686)
"2755192170","2755192170",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0421313, 9.6836674)
"2755192171","2755192171",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0418539, 9.6833626)
"2755192172","2755192172",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.041493, 9.6837108)
"2894102319","2894102319",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.2898502, 10.0766023)
"2894102320","2894102320",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.2895155, 10.0764928)
"2894102321","2894102321",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.289302, 10.0768789)
"2894102322","2894102322",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.289602, 10.077053)
"2918079223","2918079223",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.5240089, 9.9113256)
"2918079224","2918079224",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.524076, 9.9109835)
"2918079225","2918079225",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.5238888, 9.9109478)
"2918079226","2918079226",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.5238217, 9.91129)
"3119747581","3119747581",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.7174759, 11.0306079)
"3119747582","3119747582",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.7171947, 11.0307774)
"3119747583","3119747583",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.7170322, 11.0305178)
"3119747584","3119747584",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.7173134, 11.0303482)
"3303417437","3303417437",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.6228592, 9.609445)
"3303417438","3303417438",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.6225541, 9.60954)
"3303417441","3303417441",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.6228812, 9.6094982)
"3303417458","3303417458",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.6227827, 9.6095297)
"3312315276","3312315276",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0072861, 9.9765309)
"3312315277","3312315277",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0076337, 9.9765669)
"3312315278","3312315278",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0075218, 9.9768299)
"3312315279","3312315279",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0072755, 9.9767315)
"3319870752","3319870752",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.2102122, 10.0174414)
"3319870753","3319870753",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.2103784, 10.0173965)
"3319870754","3319870754",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.2103051, 10.0171379)
"3319870755","3319870755",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.210143, 10.0172181)
"3348728296","3348728296",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1597955, 10.0373215)
"3348728297","3348728297",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1596134, 10.0373852)
"3348728298","3348728298",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1597424, 10.0375401)
"3348728299","3348728299",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1598626, 10.0374984)
"3493829580","3493829580",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0142593, 10.4502552)
"3493829581","3493829581",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0143193, 10.4497812)
"3493829582","3493829582",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0130293, 10.4496572)
"3493829583","3493829583",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.012554, 10.4498546)
"3493829584","3493829584",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0127828, 10.4503414)
"3493829585","3493829585",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0130798, 10.4502253)
"3493829586","3493829586",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0134239, 10.4501729)
"3632161909","3632161909",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1521667, 10.0030631)
"3632161910","3632161910",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1522167, 10.0027232)
"3632161911","3632161911",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1520324, 10.0026962)
"3632161912","3632161912",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1519762, 10.0030317)
"3662550616","3662550616","Concejo Municipal Distrito Colorado","Colorado",NA,"townhall",NA,NA,"Municipalidad de Abangares",NA,NA,c(-85.108749, 10.1842326)
"3685919018","3685919018",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0501715, 9.9119741)
"3685919019","3685919019",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0496735, 9.9119224)
"3685919020","3685919020",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0495415, 9.9119185)
"3685919021","3685919021",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0495355, 9.9115679)
"3685919022","3685919022",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0489997, 9.9114774)
"3685919023","3685919023",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.049715, 9.9110363)
"3685919024","3685919024",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0501326, 9.9118068)
"3692657716","3692657716",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3805711, 9.9795517)
"3692657717","3692657717",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3803101, 9.9795508)
"3692657719","3692657719",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.380572, 9.9792871)
"3713186018","3713186018",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1855169, 9.9792448)
"3713186021","3713186021",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1851534, 9.9790995)
"3713186022","3713186022",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1854979, 9.9791498)
"3713186024","3713186024",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1852922, 9.9790711)
"3713186225","3713186225",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1853198, 9.9791876)
"3720330823","3720330823",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.6818601, 10.2091173)
"3720330824","3720330824",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.6815074, 10.2090791)
